Datum,NEW_IN_IVA
2020-03-06,1
2020-03-08,1
2020-03-09,1
2020-03-10,1
2020-03-13,1
2020-03-14,2
2020-03-15,4
2020-03-16,1
2020-03-17,1
2020-03-18,7
2020-03-19,4
2020-03-20,10
2020-03-21,4
2020-03-22,9
2020-03-23,19
2020-03-24,13
2020-03-25,19
2020-03-26,15
2020-03-27,14
2020-03-28,14
2020-03-29,13
2020-03-30,22
2020-03-31,15
2020-04-01,26
2020-04-02,21
2020-04-03,23
2020-04-04,19
2020-04-05,16
2020-04-06,24
2020-04-07,23
2020-04-08,20
2020-04-09,15
2020-04-10,16
2020-04-11,25
2020-04-12,15
2020-04-13,20
2020-04-14,20
2020-04-15,21
2020-04-16,20
2020-04-17,20
2020-04-18,11
2020-04-19,23
2020-04-20,7
2020-04-21,21
2020-04-22,26
2020-04-23,14
2020-04-24,20
2020-04-25,11
2020-04-26,11
2020-04-27,7
2020-04-28,15
2020-04-29,9
2020-04-30,14
2020-05-01,8
2020-05-02,19
2020-05-03,14
2020-05-04,12


