"Datum" "IN_IVA"
2020-03-30 109
2020-03-31 127
2020-04-01 135
2020-04-02 145
2020-04-03 148
2020-04-04 156
2020-04-05 166
2020-04-06 177
2020-04-07 178
2020-04-08 195
2020-04-09 201
2020-04-10 204
2020-04-11 208
2020-04-12 219
2020-04-13 219
2020-04-14 216
2020-04-15 220
2020-04-16 219
2020-04-17 216
2020-04-18 223
2020-04-19 220
2020-04-20 224
2020-04-21 215
2020-04-22 208
2020-04-23 232
2020-04-24 223
2020-04-25 223
2020-04-26 220
2020-04-27 211
2020-04-28 211
2020-04-29 202
2020-04-30 193
2020-05-01 189
2020-05-02 188
2020-05-03 189
2020-05-04 190
